id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1235716715415105536,Australia_21,"Have you thought about how we’ll meet the 21st Century challenges of climate change, plus food, water and energy security? Australia needs to look at its landscapes in new ways: https://t.co/WiUZsDSh2S
#ClimateChange #Sustainability https://t.co/jnvhN1cu6r",Thu Mar 05 23:59:58 +0000 2020,05/03/2020 23:59:58,,,,,186716353,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",http://pbs.twimg.com/profile_images/763199543471054849/XvRapTUi_normal.jpg,2612,1959,Canberra,http://twitter.com/Australia_21/statuses/1235716715415105536,"{""hashtags"":[{""text"":""ClimateChange"",""indices"":[202,216]},{""text"":""Sustainability"",""indices"":[217,232]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/WiUZsDSh2S"",""expanded_url"":""https://buff.ly/2PRX9Kf"",""display_url"":""buff.ly/2PRX9Kf"",""indices"":[178,201]}],""media"":[{""id"":1235716713964081200,""id_str"":""1235716713964081153"",""indices"":[233,256],""media_url"":""http://pbs.twimg.com/media/ESYlzeLXkAEI09G.jpg"",""media_url_https"":""https://pbs.twimg.com/media/ESYlzeLXkAEI09G.jpg"",""url"":""https://t.co/jnvhN1cu6r"",""display_url"":""pic.twitter.com/jnvhN1cu6r"",""expanded_url"":""https://twitter.com/Australia_21/status/1235716715415105536/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":425,""h"":282,""resize"":""fit""},""large"":{""w"":425,""h"":282,""resize"":""fit""},""medium"":{""w"":425,""h"":282,""resize"":""fit""}}}]}"
1235716674420006912,Shirley08391760,"RT @The_taX_Files: Not only did #ScottyFomMarketing fail to ""put the fire out"" on #climateChange &amp; #AustralianFires he literally shut shop on all future attempts to extinguish fires &amp; address #ClimateChange when he stopped funding the same support services &amp; backed #Coal over everything else https://t.co/CxnJSRfO4R",Thu Mar 05 23:59:48 +0000 2020,05/03/2020 23:59:48,,,,,1122054681180565505,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1134742705068634112/7wyIVjU2_normal.jpg,261,256,"Jindabyne, New South Wales",http://twitter.com/Shirley08391760/statuses/1235716674420006912,"{""hashtags"":[{""text"":""ScottyFomMarketing"",""indices"":[32,51]},{""text"":""climateChange"",""indices"":[82,96]},{""text"":""AustralianFires"",""indices"":[103,119]}],""symbols"":[],""user_mentions"":[{""screen_name"":""The_taX_Files"",""name"":""💧Fox Moulder 🔥"",""id"":3013153314,""id_str"":""3013153314"",""indices"":[3,17]}],""urls"":[]}"
1235716603825672192,aileenwalsh16,RT @terraconcern: Professor Will Steffen gave talk in Goulburn last night #ClimateChange 2020 “why we have an emergency”. Organised by Citizens’ Climate Lobby. Around 100 adults present heard scientific evidence supporting drastic action cutting emissions desperately required! #ClimateEmergency https://t.co/A4ycEltTX8,Thu Mar 05 23:59:31 +0000 2020,05/03/2020 23:59:31,,,,,3024513774,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1206032443225985024/UvW7wrSj_normal.jpg,732,1650,"Melbourne, Victoria",http://twitter.com/aileenwalsh16/statuses/1235716603825672192,"{""hashtags"":[{""text"":""ClimateChange"",""indices"":[74,88]}],""symbols"":[],""user_mentions"":[{""screen_name"":""terraconcern"",""name"":""Ausenviroman"",""id"":1076726631195041800,""id_str"":""1076726631195041792"",""indices"":[3,16]}],""urls"":[]}"
1235716581264633856,RAAPTI,"RT @zartajgulwazir: وزیر اعظم موسمیاتی تبدیلی کے چیلنجز سے بخوبی واقف ہیں۔ شروع میں وجوہات بتائیں کہ مجھے اس وزارت کے لئے کیوں چنا۔

The Prime Minister has always had a clear vision about #ClimateChange. When I enquired of him why he chose me for this Ministry, he gave me a whole raft of reasons. 🇵🇰 https://t.co/9AOELTWjkl",Thu Mar 05 23:59:26 +0000 2020,05/03/2020 23:59:26,,,,,802303884995731456,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1237871731211210752/b-yxKare_normal.jpg,753,1264,"Lahore, Pakistan",http://twitter.com/RAAPTI/statuses/1235716581264633856,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""zartajgulwazir"",""name"":""Zartaj Gul Wazir"",""id"":714996735,""id_str"":""714996735"",""indices"":[3,18]}],""urls"":[]}"
1235716553070366721,prollyhalal,"RT @majidahhashim: Thousands of #RedJellyfish have washed up to the beaches of #Labuan. These are unknown non-native species.

In the last few months, #ClimateChange has brought #orcas, the deadly #PortugueseManOfWar and now this to our shores. Why haven't we declared a #ClimateEmergency yet?! https://t.co/zP91KPISoK",Thu Mar 05 23:59:19 +0000 2020,05/03/2020 23:59:19,,,,,522793362,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1140563800828997632/eMNaqzHp_normal.jpg,539,680,,http://twitter.com/prollyhalal/statuses/1235716553070366721,"{""hashtags"":[{""text"":""RedJellyfish"",""indices"":[32,45]},{""text"":""Labuan"",""indices"":[79,86]}],""symbols"":[],""user_mentions"":[{""screen_name"":""majidahhashim"",""name"":""Majidah Hashim"",""id"":73320704,""id_str"":""73320704"",""indices"":[3,17]}],""urls"":[]}"
1235716548402139136,giddeygirl,"RT @ourANU: Join #ANUExperts for a night of science stories in Canberra. Meredith Hope will reveal what the Murray-Darling river's ""song"" can tells us about its health &amp; @bec_colvin will explore how #climatechange became so polarised in Australia. @ANUFennerSchool @ANUCrawford https://t.co/Qde0gwulro",Thu Mar 05 23:59:18 +0000 2020,05/03/2020 23:59:18,,,,,125515417,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1145979944675106816/NOhahfkj_normal.jpg,2589,4999,"On a beach, I wish. Coalcliff.",http://twitter.com/giddeygirl/statuses/1235716548402139136,"{""hashtags"":[{""text"":""ANUExperts"",""indices"":[17,28]}],""symbols"":[],""user_mentions"":[{""screen_name"":""ourANU"",""name"":""ourANU"",""id"":2893684442,""id_str"":""2893684442"",""indices"":[3,10]}],""urls"":[]}"
1235716528957526016,Britanniacomms,"BBC News - Climate change: Where we are, in seven charts and what you can do to help https://t.co/bTKnybjYeS #climatechange #environment https://t.co/WYkaGv6hVx",Thu Mar 05 23:59:13 +0000 2020,05/03/2020 23:59:13,,,,,1623145514,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",http://pbs.twimg.com/profile_images/940319862487793664/5f2sMDvc_normal.jpg,74316,87590,"London, UK and Worldwide",http://twitter.com/Britanniacomms/statuses/1235716528957526016,"{""hashtags"":[{""text"":""climatechange"",""indices"":[109,123]},{""text"":""environment"",""indices"":[124,136]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/bTKnybjYeS"",""expanded_url"":""https://www.bbc.co.uk/news/science-environment-46384067"",""display_url"":""bbc.co.uk/news/science-e…"",""indices"":[85,108]}],""media"":[{""id"":1235716527372066800,""id_str"":""1235716527372066821"",""indices"":[137,160],""media_url"":""http://pbs.twimg.com/media/ESYlonEXYAU50XY.jpg"",""media_url_https"":""https://pbs.twimg.com/media/ESYlonEXYAU50XY.jpg"",""url"":""https://t.co/WYkaGv6hVx"",""display_url"":""pic.twitter.com/WYkaGv6hVx"",""expanded_url"":""https://twitter.com/Britanniacomms/status/1235716528957526016/photo/1"",""type"":""photo"",""sizes"":{""large"":{""w"":660,""h"":371,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":660,""h"":371,""resize"":""fit""},""small"":{""w"":660,""h"":371,""resize"":""fit""}}}]}"
1235716522066079744,gayuhputra,"RT @MikeHudema: Kenya is planting trees with seed balls covered in charcoal dust to keep animals from eating them and to fight #climatechange and combat #deforestation.

We have the solutions, let's get busy and #ActOnClimate.

#ClimateAction #climate #energy #GreenNewDeal #nature https://t.co/UaTmr0pNmk",Thu Mar 05 23:59:12 +0000 2020,05/03/2020 23:59:12,,,,,74167210,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/815758683372011520/7llOHw4x_normal.jpg,503,526,http://gayuh.putranto.net,http://twitter.com/gayuhputra/statuses/1235716522066079744,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""MikeHudema"",""name"":""Mike Hudema"",""id"":15088481,""id_str"":""15088481"",""indices"":[3,14]}],""urls"":[]}"
1235716508455747584,NAJ562,"RT @BathLabourParty: @DominicTristram Friends of the Earth have rated Labour’s policies to tackle #ClimateChange the best out of all of the parties, including the Greens. 
#ClimateEmergency
https://t.co/SNm3CwKL7z",Thu Mar 05 23:59:08 +0000 2020,05/03/2020 23:59:08,,,,,219266194,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1219969132491354113/_JK5WLgI_normal.jpg,19318,3730,"Bath, England",http://twitter.com/NAJ562/statuses/1235716508455747584,"{""hashtags"":[{""text"":""ClimateChange"",""indices"":[98,112]}],""symbols"":[],""user_mentions"":[{""screen_name"":""BathLabourParty"",""name"":""Bath Labour Party"",""id"":395452660,""id_str"":""395452660"",""indices"":[3,19]},{""screen_name"":""DominicTristram"",""name"":""Dom Tristram"",""id"":5650042,""id_str"":""5650042"",""indices"":[21,37]}],""urls"":[]}"
1235716503460171777,marybar41015771,"RT @Ryanintheus: Watch this video. 
It was made by @NASA 
Wait for it... 
And then you see it.
Our house is on fire people! 🔥🔥
It’s time to act!

#ClimateCrisis #ClimateChange #ClimateEmergency #ClimateAction #ClimateStrike #climate #GreenNewDeal #nature #GlobalWarming
 https://t.co/SVhAG8ndcI",Thu Mar 05 23:59:07 +0000 2020,05/03/2020 23:59:07,,,,,999672571208482816,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1076180211417268224/P6MN27V9_normal.jpg,1860,1841,,http://twitter.com/marybar41015771/statuses/1235716503460171777,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""Ryanintheus"",""name"":""Ryan Hodgson"",""id"":58569413,""id_str"":""58569413"",""indices"":[3,15]},{""screen_name"":""NASA"",""name"":""NASA"",""id"":11348282,""id_str"":""11348282"",""indices"":[51,56]}],""urls"":[]}"
